     value      count   proportion

     18.00          1        0.000
     19.00          1        0.000
     20.00          3        0.000
     21.00          8        0.000
     22.00         26        0.000
     23.00         58        0.001
     24.00         96        0.001
     25.00        239        0.002
     26.00        426        0.004
     27.00        741        0.007
     28.00       1221        0.012
     29.00       1980        0.020
     30.00       2985        0.030
     31.00       4098        0.041
     32.00       5578        0.056
     33.00       7230        0.072
     34.00       8748        0.087
     35.00       9795        0.098
     36.00      10650        0.106
     37.00      10440        0.104
     38.00       9580        0.096
     39.00       8380        0.084
     40.00       6550        0.066
     41.00       4690        0.047
     42.00       3181        0.032
     43.00       1764        0.018
     44.00        926        0.009
     45.00        428        0.004
     46.00        137        0.001
     47.00         37        0.000
     48.00          3        0.000

sample size ........... =  100000
mean .................. =  35.995
standard deviation .... =   3.751
